Autor,Zitat
Carl Friedrich Gauß,"Wahrlich es ist nicht das Wissen, sondern das Lernen, nicht das Besitzen, sondern das Erwerben, nicht das Da-Seyn, sondern das Hinkommen, was den grössten Genuss gewährt."
Bjarne Stroustrup,"C makes it easy to shoot yourself in the foot, C++ makes it harder, but when you do, it blows away your whole leg."
René Descartes,"Nichts auf der Welt ist so gerecht verteilt wie der Verstand. Denn jedermann ist davon überzeugt, dass er genug davon habe."
François Duc de La Rochefoucauld,"Wer sich zu viel mit dem Kleinen abgibt, wird unfähig für Großes."
Konrad Zuse,"Die Gefahr, dass der Computer so wird wie der Mensch, ist nicht so groß wie die Gefahr, dass der Mensch so wird wie der Computer."
Mark Twain,"All generalizations are false, including this one."
Karl Gutzkow (1811–1878),Irdisches Glück heißt: Das Unglück besucht uns nicht zu regelmäßig.
George Bernard Shaw (1856–1950),"Eines der traurigsten Dinge im Leben ist, dass ein Mensch viele gute Taten tun muss, um zu beweisen, dass er tüchtig ist, aber nur einen Fehler zu begehen braucht, um zu beweisen, dass er nichts taugt."
Aristoteles (384–322 v. u. Z.),Das Ganze ist mehr als die Summe seiner Teile.
Christian Ullenboom,"Aber API-Design ist wie Sex: Eine unüberlegte Aktion, und die Brut lebt mit uns für immer."
Ernest Hemingway (1899–1961),Glück ist ganz einfach gute Gesundheit und ein schlechtes Gedächtnis.
Aristoteles (384–322 v. u. Z.),"Wir sind das, was wir wiederholt tun. Daher ist Vortrefflichkeit keine Handlung, sondern eine Gewohnheit."
Elbert Green Hubbard (1856–1915),"Schlagfertigkeit ist jede Antwort, die so klug ist, dass der Zuhörer wünscht, er hätte sie gegeben."
Unbekannt,"Es gibt nur 10 Typen von Menschen auf der Welt. Die, die Binärcode verstehen, und die, die ihn nicht verstehen."
"Ken Olson, Präsident der Digital Equipment Corporation, 1977","Es gibt keinen Grund, warum man einen Computer zu Hause haben sollte."
"Sebastian Thrun, Gründer von Udacity","To me, mathematics, computer science, and the arts are insanely related. They're all creative expressions."
Seneca,"Lang ist der Weg durch Lernen, kurz und wirklich durch Beispiele."
Marcus Aurelius,Auf die Dauer der Zeit nimmt die Seele die Farbe der Gedanken an.
Nelson Mandela,It always seems impossible until it’s done.
John McCarthy,"As soon as it works, no-one calls it AI anymore."
G. Galilei,"Alles messen, was messbar ist, und versuchen, messbar zu machen, was es noch nicht ist."
C. S. Lewis.,You can't go back and change the beginning but you can start where you are and change the ending.
"Hermann Hesse, Siddhartha","Wissen kann man mitteilen, Weisheit aber nicht. Man kann sie finden, man kann sie leben, man kann von ihr getragen werden, man kann mit ihr Wunder tun, aber sagen und lehren kann man sie nicht."
Vincent van Gogh,"The more i think it over, the more i feel that there is nothin more truly artistic than to love people.“"
Hermann Hesse: Siddhartha (1992),"Und alles zusammen, alle Stimmen, alle Ziele, alles Sehnen, alle Leiden, alle Lust, alles Gute und Böse, alles zusammen war die Welt. Alles zusammen war der Fluss des Geschehens, war die Musik des Lebens."
Leonard Cohen,Ring the Bells that still can ring. Forget your perfect offering. There is a crack in everything. That's how the light gets in.
Mark Twain,"Arbeite, als würdest du das Geld nicht brauchen. Liebe, als hätte dich nie jemand verletzt. Tanze, als würde niemand zusehen. Singe, als würde niemand zuhören. Lebe, als wäre der Himmel auf Erden!"
Richard Feynman,I was born not knowing and have only had a little time to change that here and there.
Der kleine Hobbit JRR Tolkien,"Wenn mehr von uns Heiterkeit, gutes Tafeln und klingende Lieder höher als gehortetes Gold schätzen würden, so hätte wir eine fröhlichere Welt."
Charles Bukowski,"I was waiting for something extraordinary to happen, but as the years wasted on nothing ever did unless I caused it."
Isaac Newton,"Wenn ich weiter gesehen habe als andere, so deshalb, weil ich auf den Schultern von Riesen stehe."
Albert Einstein,So einfach wie möglich. Aber nicht einfacher.
"Friedrich Rückert (deutscher Schriftsteller, 1788–1866)","Am Ende sieht’s ein Tor, ein Klügrer in der Mitte, und nur der Weise sieht das Ziel beim ersten Schritte."
Galileo Galilei (1564–1642),"Die Neugier steht immer an erster Stelle eines Problems, das gelöst werden will."
(Sprichwort),Der Neurotiker zieht sein bekanntes Unglück dem unbekannten Glück vor.
Dietrich Bonhoeffer,"Den größten Fehler, den man im Leben machen kann, ist,  immer Angst zu haben, einen Fehler zu machen."
Robert Green,The best way to protect yourself is to be as fluid and formless as water; never bet on stability or lasting order.
Parkway Drive,You only live once but you spent your hole life dying.
Konfuzius (551–479 v. Chr.),"Etwas lernen und mit der Zeit darin immer geübter werden, ist das nicht auch eine Freude?"
(Urheber unbekannt1),"Wir ertrinken in Daten, hungern aber nach Erkenntnissen."
John Naisbitt,We are drowning in information but starved for knowledge.
Blaise Pascal,"Entschuldigen Sie, dass ich Ihnen einen langen Brief schreibe, für einen kurzen habe ich keine Zeit."
Karl Popper,"The aim of argument should not be victory, but progress."
Karl Deutsch,"Macht ist die Lizenz, nicht lernen zu müssen."
Ödön von Horváth,"Eigentlich bin ich ganz anders, nur komme ich so selten dazu."
Popper(1980),"Theories are nets cast to catch what we call 'the world'; to rationalize, to explain and to master it."
Summary of Bacharach (1989),"A scientific theory is a system of constructs (concepts) and propositions (relationships between those constructs) that collectively present a logical, systematic, and coherent explanation of a phenomenon [...]"
Scribonius Largus,"primum non nocere, secundum cavere, tertium sanare(deutsch: erstens nicht schaden, zweitens vorsichtig sein, drittens heilen)"
"Publilius Syrus, Römischer Mimen-Dichter",Geduld und Mut schaffen sich ihr eigenes Glück.
Carl Jung,I am not what happened to me. I am what I choose to become.
Dan Brown,The decision of our past are the architects of our present.
Paulo Coelho,"When in doubt, just take the next small step."
Fyodor Dostoevsky,Your worst sin is that you have destroyed and betrayed yourself for nothing.
Hippocrates,Everything in excess is opposed to nature.
Sam Harris,You are not who you think you are. But you are condemned to be who you think you are. 
Donald Knuth,Premature optimization is the root of all evil.
Ockhams Rassiermesser,Entitia non sunt multiplicanda praeter necessitatem.
Blaise Pascal,"Entschuldigen Sie, dass ich Ihnen einen langen Brief schreibe, für einen kurzen habe ich keine Zeit."
John Milton,"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven."
