Name,Genre,Schauspieler,Sonstiges
Das große Krabbeln,,,
Die wilden Kerle,,,
Madagascar 2,,,
Friends,,,
American Sniper,,,
Sniper,,,
Zoomania,,,
Patch Adams,,Robin Williams,
Lucky Luke Daisy Town,,,
Das weisse Band,,,
Tierisch Wild,,,
Neues vom Wixxer,,,
Sister Act,,,
Cloverfield,,,
RoadTrip,,,
Mr Nice Guy,,Jackie Chan,
Ted,,,
Sherlock,,,
House of Cards,,,
Star Wars,,,
Die Unglaublichen,,,
E.T. Der Ausserirdische,,,
Who Am I,,,
catch me if u can,,,
Avatar,,,
Hobbit,,,
Stripes,,,
102 Dalmatiner,,,
Ottos Eleven,,,
Mrs Doubtfire - Das stachelige Hausmädchen,,,
Die EIskönigin - Völlig unverfroren,,,
Drachenzähmen leicht gemacht,,,
Indiana Jones,,,
Per Anhalter durch die Galaxis,,,
Shrek,,,
Iron Man,,,
The Green Mile,,,
Hitch Der Date Doktor,,Will Smith,
Das Wunder von Bern,,,
Die Besucher - Die sind nicht von gestern,,,
Das fliegende Klassenzimmer,,,
Kung Fu Master,,Jackie Chan,
I robot,,Will Smith,
Scary Movie,,,
Flubber,,Robin Williams,
Iron Man,,,
The Book of Eli,,,
Oliver & Co.,,,
Lucky Slevin,,,
Beethoven - Urlaub mit Hindernissen,,,
Atlantis - Die Rückkehr,,,
Evan Allmächtig,,,
Agent 00,,Leslie Nielsen,
Dr. Dolittle,,Eddie Murphy,
slumdog millionär,,,
Sister Act,,,
Könige der Wellen,,,
Crocodile Dundee,,Paul Hogan,
Die nackte Kanone,,Leslie Nielsen,
Napoleon,,Joaquin Phoenix,
Zurück in die Zukunft,,,
Die unglaubliche Reise in einem verrückten Flugzeug,,Leslie Nielsen,
Superbad,,,
Hangover,,,
Grand Budapest Hotel,,,
Zombieland,,,
Der kleine Tod. Eine Komödie über Sex.,,,
Tschik,,,
Lucky Number Slevin,Komödie,,
Brügge sehen und sterben,Komödie,,
The Wolf of Wallstreet,Komödie,,
Schindlers Liste,,,
Pulp Fiction,,,
Der Pate,,,
Der Prinz aus Zamunda,,,
Lethal Waepon,,,
Beverly Hills Cop,,,
Mr Magoo,,,
The Big Lebowski,,,
Shaun of the Dead,,,
Mr. Nice Guys,,,
