Titel,Autor,ISBN,Comment
Löwenzahn - Kinder Lexikon,,9783558 720811,
Das löwenzahnstarke Buch,"Birgit Hattemer,Ulla Gast",9 783909 484393,
Löwenzahn Abenteuer Luftfahrt Erlebnis Wasser,,9 783821 230375,
Löwenzahn Faszination Waldtiere Kraftstoff Essen,,9 783821 230443,
Peter Lustigs Forschertipps Erde und Wasser ,,,
Peter Lustigs Forschertipps Luft und Schwerkraft,,,
Peter Lustigs Forschertipps Licht und Pflanzen,,,
Peter Lustigs Forschertipps Luft und Schwerkraft,,,
Peter Lustigs Forschertipps Magnete und Energie,,,
Peter Lustigs Forschertipps Farben und Formen,,,
Mit Löwenzahn die Welt entdecken Bauernhof und Garten,, ,
Mit Löwenzahn die Welt entdecken  Stadt und Verkehr,,,
Löwenzahn Tour Natur,,9 783898 358026,
Ernährungsstrategien in Kraftsport und Bodybuilding,Dr. Christian von Loeffelholz,9783929002461,
Vegane Eiweißwunder,"Petra Kunze,Sarah Schocke",978-3-442-22178-3,
Grund unf Aufbauwortschatz Latein,,978-3-12-561956-2,
Schulgrammatik Latein,,9 783125 613959,
Latinum Ausgabe B - Übungsheft,,978-3-525-71036-4,
Latinum Ausgabe B,,978-3-525-71403-4,
Praktische Ethik,Peter Singer,978-3-15-018919-1,
De officiis / Vom pflichtgemäßen Handeln,Cicero,3-15-001889-7,
Homo Faber,Max Frisch,978-3-518-36854-1,
Mathematische Algorithmen mit Python,Veit Steinkamp,978-3-8362-8574-2,
Ein Fall für dich und das Tiger-Team,Thomas Brezina,9 783505 116797,
Die Knickerbrocker Bande - Im Wald der Werwölfe,Thomas Brezina,9 783473 470877,
Kommissar Kugelblitz - Das Geheimnis von Spooky Hill,Ursel Scheffler,9783505 115462,
"Wer bin Ich und wenn ja, wie viele?",Richard David Precht,978-3-442-31143-9,
Handbuch für Softwareentwickler,"Veikko Krypczyk,Elena Bochkor",978-3-8362-7977-2,
WordPress 6,"Richard Eisenmenger,Florian Brinkmann",978-3-8362-8805-7,
Datenvisualisierung mit Excel,Dirk Siegmann,978-3-8362-7331-2,
Git,"Bernd Öggl,Michael Kofler",978-3-8362-8845-3,
Raspberry Pi,"Michael Kofler,Charly Kühnast,Christoph Scherbeck",978-3-8362-5859-3,
Grundkurs Compilerbau,Uwe Meyer,978-3-8362-7733-4,
Node.js,Sebastian Springer,978-3-8362-8765-4,
Linux,Michael Kofler,978-3-8362-5854-8,
Shell-Programmierung,"Frank Sommer,Stefan Kania,Jürgen Wolf",978-3-8362-8923-8,
Entwurfsmuster,Matthias Geirhos,978-3-8362-2762-9,
Modern Parallel Programming with C++ and Assembly Language,Daniel Kusswurm,978-1-4842-7917-5,
Head First Design Patterns,,,
Pro C# 10 with .NET 6,"Andrew Troelsen,Phil Japikse",978-1-4842-7869-7,
Java SE 9 Standard-Bibliothek,Christian Ullenboom,978-3-8362-5874-6,
Blender 3,Andreas Asanger,978-3-8362-7156-1,
Professionell entwickeln mit Java EE 8,Alexander Salvanos,978-3-8362-4353-7,
React,Sebastian Springer,978-3-8362-9254-2,
Datenbanksysteme,Michael Kofler,978-3-8362-8422-6,
Docker,"Bernd Öggl,Michael Kofler",978-3-8362-9646-5,
Learning Deep Learning,Magnus Ekman,978-0-13-747035-8,
"Die fünf Geheimnisse, die Sie entdecken sollten, bevor Sie sterben",John Izzo,978-3-442-15617-7,
Einführung in die Philosophie,Arno Anzenbacher,978-3-451-27851-8,
